Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
spotify:track:4SmMe198ot30paOyvuTH5w,UNA BACHATA,spotify:artist:3bvfu2KAve4lPHrhEFDZna,Lola Indigo,71,"['latin viral pop', 'spanish pop']",GRX,73,0.714,0.718,0,-3.888,0,0.0943,0.538,0.0,0.102,0.815,129.991,157846,4
spotify:track:7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,spotify:artist:4q3ewBCX7sLwd24euuV69X,Bad Bunny,95,"['reggaeton', 'trap latino', 'urbano latino']",nadie sabe lo que va a pasar mañana,96,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,162768,4
spotify:track:5QtB74eCS2YzHvEfSlh8MG,Hey Lil Mama,spotify:artist:5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,84,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']",Sol María,85,0.458,0.52,1,-6.902,0,0.175,0.58,5.98e-05,0.248,0.38,141.636,216338,4
spotify:track:6XbtvPmIpyCbjuT0e8cQtp,Columbia,spotify:artist:52iwsT98xCoGgiGntTiR7K,Quevedo,84,"['rap canario', 'trap latino', 'urbano latino']",Columbia,92,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,186000,4
spotify:track:5xSt1wxZobFcLzHrFakv6z,COSAS QUE NO TE DIJE,spotify:artist:2O8vbr4RYPpk6MRA4fio7u,Saiko,77,"['trap latino', 'urbano espanol', 'urbano latino']",COSAS QUE NO TE DIJE,84,0.616,0.673,2,-3.948,1,0.0327,0.563,0.0,0.122,0.21,99.971,224726,4
spotify:track:68OXeY9CUQebrOAAh3b3Jw,LA CAPI,spotify:artist:7iK8PXO48WeuP03g8YR51W,Myke Towers,86,"['reggaeton', 'trap latino', 'urbano latino']",LVEU: VIVE LA TUYA...NO LA MIA,80,0.77,0.907,0,-4.679,0,0.215,0.427,4.34e-06,0.132,0.696,149.997,202361,4
spotify:track:559YUIWxUc8Mx4lsla13Ff,MODELITO,spotify:artist:0Q8NcsJwoCbZOHHW63su5S,Mora,83,"['trap latino', 'urbano latino']",PARAÍSO,84,0.711,0.752,7,-7.574,0,0.2,0.191,0.0106,0.338,0.528,145.047,190497,4
spotify:track:18W8cuvcub2B9NQzm5rZxf,A 300,spotify:artist:0FwnPHExlRRxEZPLAi5tmG,JC Reyes,72,[],A 300,79,0.792,0.725,1,-5.821,0,0.171,0.0927,0.0,0.0702,0.68,138.867,169209,4
spotify:track:0QRHOAeU8JRaVVn3UoZBih,REINA,spotify:artist:0Q8NcsJwoCbZOHHW63su5S,Mora,83,"['trap latino', 'urbano latino']",ESTRELLA,84,0.724,0.578,10,-7.117,1,0.0819,0.632,1.06e-06,0.0943,0.757,167.985,211879,4
spotify:track:2kz1YOhJiNubjigR1gB1VX,DILUVIO,spotify:artist:1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,87,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",PLAYA SATURNO,91,0.845,0.795,9,-3.502,0,0.0681,0.343,1.78e-05,0.224,0.681,94.969,197053,4
spotify:track:0sFyqFZE8YkkOMA9IFZ3S6,BAD BOY,spotify:artist:0qTZZWLzuD59Un5r1speHm,Chris Jedi,69,"['reggaeton', 'trap latino', 'urbano latino']",BAD BOY,65,0.766,0.711,1,-4.892,0,0.0843,0.334,0.000111,0.418,0.633,94.972,235147,4
spotify:track:4ypCNolz6aRYZPO3UOGp8Z,ZORRA,spotify:artist:58M2tktuW3ZTnZGTddqejF,Nebulossa,54,[],ZORRA,74,0.707,0.653,9,-6.149,0,0.0323,0.00413,0.000287,0.113,0.779,129.994,183577,4
spotify:track:6KHxe3Yj8W8oq3zviUvJRe,Madrid City,spotify:artist:6k8mwkKJKKjBILo7ypBspl,Ana Mena,67,['spanish pop'],Madrid City,79,0.73,0.87,1,-3.718,0,0.0561,0.0272,2.9e-06,0.45,0.184,132.011,172727,4
spotify:track:0p0cOpBujR114Wirv5AM7W,Narcotics (with Bryant Myers),spotify:artist:2YRyPiW98bpkARAS4B3OQP,Dei V,77,"['trap latino', 'urbano latino']",Narcotics (with Bryant Myers),85,0.711,0.718,1,-5.671,1,0.0994,0.379,0.0,0.119,0.689,159.953,173991,4
spotify:track:4LcRO9JPtGavb3dbg7HIMQ,"Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)",spotify:artist:1aOK2Zm4Wsm4I4DuoQIXsZ,Oscar el Ruso,57,['flamenco urbano'],"Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)",75,0.885,0.715,8,-8.31,1,0.14,0.218,0.0,0.0958,0.953,100.036,248005,4
spotify:track:5RqSsdzTNPX1uzkmlHCFvK,QLONA,spotify:artist:790FomKkXshlbRYZFtlgla,KAROL G,89,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",MAÑANA SERÁ BONITO (BICHOTA SEASON),93,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,172798,4
spotify:track:0EhuGnOS6fTc5l5UNtDEH2,POLARIS - Remix,spotify:artist:2O8vbr4RYPpk6MRA4fio7u,Saiko,77,"['trap latino', 'urbano espanol', 'urbano latino']",POLARIS (Remix),83,0.623,0.799,8,-4.152,0,0.0713,0.153,0.0,0.365,0.552,169.901,288000,4
spotify:track:6gMj2DzKR2PjrrbNSwcGFR,OA,spotify:artist:2R21vXR83lH98kGeO99Y66,Anuel AA,86,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",OA,86,0.813,0.866,7,-3.239,1,0.0851,0.17,0.0,0.0421,0.647,99.994,235200,4
spotify:track:2HafqoJbgXdtjwCOvNEF14,Si No Estás,spotify:artist:0jbo7KFNMiIkfBR6ih0yhm,iñigo quintero,74,[],Si No Estás,95,0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,184061,4
spotify:track:4snJ71Uz5KvX1CW0SaUiZY,Falsos Recuerdos,spotify:artist:2bxxlINUlcMQQb39K7IopR,Abraham Mateo,66,"['latin arena pop', 'latin pop', 'latin viral pop', 'reggaeton', 'spanish pop']",Falsos Recuerdos,72,0.703,0.722,0,-3.93,0,0.0379,0.739,1.51e-06,0.127,0.616,134.92,191414,4
spotify:track:144k7KOL7ZPopw7rTTzzXN,El Malo,spotify:artist:5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,84,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']",Sol María,81,0.53,0.617,9,-6.25,0,0.141,0.254,0.0,0.268,0.442,174.102,209655,4
spotify:track:21N77gfWYoQDvrLvaeiQgi,BABY HELLO,spotify:artist:1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,87,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",PLAYA SATURNO,78,0.773,0.893,1,-3.733,0,0.0483,0.164,3.01e-06,0.429,0.842,130.013,222462,4
spotify:track:4sDpxaulErbJ9NBaJDC7cJ,Buenas,spotify:artist:52iwsT98xCoGgiGntTiR7K,Quevedo,84,"['rap canario', 'trap latino', 'urbano latino']",Buenas,81,0.625,0.755,8,-4.643,1,0.0724,0.247,0.0,0.124,0.429,87.948,192955,4
spotify:track:1bmIRafMOhUKsnZE7haw2u,Perdió Este Culo,spotify:artist:4F4pp8NUW08JuXwnoxglpN,Bad Gyal,75,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']",La Joia,76,0.621,0.859,2,-3.228,1,0.0559,0.145,1.3e-06,0.375,0.445,92.929,159253,4
spotify:track:7chTH3GBjjAyagf0SPCZDL,SI SABE FERXXO,spotify:artist:1TA5sGRlKUJXBN4ZyJuDIX,Blessd,76,"['reggaeton', 'urbano latino']",SI SABE,84,0.726,0.831,8,-2.035,0,0.12,0.0139,3.71e-06,0.0891,0.489,95.997,152500,4
spotify:track:7ABLbnD53cQK00mhcaOUVG,LALA,spotify:artist:7iK8PXO48WeuP03g8YR51W,Myke Towers,86,"['reggaeton', 'trap latino', 'urbano latino']",LA VIDA ES UNA,92,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,197920,4
spotify:track:5nSUskJwcSRFS9dIqrVfrv,Quien Es Dei V?,spotify:artist:2YRyPiW98bpkARAS4B3OQP,Dei V,77,"['trap latino', 'urbano latino']",Quien Es Dei V?,81,0.557,0.744,1,-4.18,1,0.344,0.481,0.0,0.666,0.7,100.247,162245,4
spotify:track:6irysuQyZWd7Bjj7ePiOs2,Holanda,spotify:artist:6nVcHLIgY5pE2YCl8ubca1,Jhayco,81,"['reggaeton', 'trap latino', 'urbano latino']",Holanda,87,0.831,0.759,1,-3.627,0,0.0502,0.277,0.0,0.125,0.244,107.961,231693,4
spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,spotify:artist:0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,82,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2000,87,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638,4
spotify:track:1f3oAGS76ZIzOrsxcD2P36,lady madrizZz,spotify:artist:5AiFFE0KopBkOzEZeDbSaH,céro,58,[],lady madrizZz,73,0.769,0.295,5,-10.467,1,0.0721,0.481,0.00026,0.0993,0.784,98.082,131020,4
spotify:track:1MB8kTH7VKvAMfL9SHgJmG,VAGABUNDO,spotify:artist:07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,79,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",VAGABUNDO,86,0.817,0.851,11,-3.309,0,0.0627,0.0351,0.0,0.232,0.886,127.019,215600,4
spotify:track:51QmqegeWI2orK2mzDfnIH,El Mambo,spotify:artist:0HSGpDMeXaEmH5aUIHjnBF,Kiko Rivera,56,"['electro bailando', 'electro latino']",El Mambo,77,0.884,0.718,1,-4.976,0,0.0763,0.0406,4.69e-05,0.287,0.729,139.991,129846,4
spotify:track:3tPPP39TSamzLPOJomKALp,NO PIENSO LLAMAR,spotify:artist:2SNfNJDsahTSVFwgxposF5,Soge Culebra,62,"['rap conciencia', 'spanish hip hop']",STORM,71,0.679,0.556,10,-5.299,1,0.148,0.181,0.0,0.108,0.583,169.997,198353,4
spotify:track:4PA1wK0leCjmRZlP5dQ8Lv,El Cielo,spotify:artist:51XrH5fQP2oIQynuKxSWcW,Sky Rompiendo,70,"['trap latino', 'urbano latino']",El Cielo,85,0.715,0.642,10,-7.492,0,0.0515,0.0687,0.0,0.0997,0.169,105.964,191321,4
spotify:track:0Me3GyNuLOa1YTIxhJPyCn,ASI ES LA VIDA,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,77,"['dance pop', 'latin pop', 'mexican pop']",ASI ES LA VIDA,83,0.823,0.882,3,-3.513,0,0.0556,0.688,1.7e-06,0.107,0.963,128.044,172096,4
spotify:track:1Hs1uUl8o2VtDp1DABFq0O,Los del Espacio,spotify:artist:1vqR17Iv8VFdzure1TAXEq,LIT killah,72,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",Los del Espacio,85,0.813,0.682,0,-3.598,1,0.0402,0.107,0.0,0.108,0.634,120.011,338000,4
spotify:track:0sfk352FO8bJUjWjIsyzSR,DONDE SE APRENDE A QUERER?,spotify:artist:0Q8NcsJwoCbZOHHW63su5S,Mora,83,"['trap latino', 'urbano latino']",ESTRELLA,83,0.722,0.519,8,-10.142,1,0.297,0.555,0.0,0.118,0.779,170.058,144427,4
spotify:track:3bdJXs70t2ybhfrDH6zyv4,SEYA,spotify:artist:0GOx72r5AAEKRGQFn3xqXK,GIMS,73,"['french hip hop', 'french pop', 'r&b francais', 'rap conscient']",LES DERNIÈRES VOLONTÉS DE MOZART (SYMPHONY),65,0.798,0.681,10,-4.818,0,0.0722,0.219,0.00197,0.137,0.434,101.005,188485,4
